,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
65,2021-10-06,895.0587427187113,777.0658871409913,997.7750797468497,895.0587427187113,895.0587427187113,-6.863497168386179,-6.863497168386179,-6.863497168386179,-6.863497168386179,-6.863497168386179,-6.863497168386179,0.0,0.0,0.0,888.1952455503251
66,2021-10-07,898.3514785563435,772.0157282501792,993.6783741612668,898.3514785563435,898.3514785563435,-15.316795300352716,-15.316795300352716,-15.316795300352716,-15.316795300352716,-15.316795300352716,-15.316795300352716,0.0,0.0,0.0,883.0346832559908
67,2021-10-08,901.6442143939757,765.750429483196,989.2892684972687,901.6442143939757,901.6442143939757,-19.72381236565821,-19.72381236565821,-19.72381236565821,-19.72381236565821,-19.72381236565821,-19.72381236565821,0.0,0.0,0.0,881.9204020283175
68,2021-10-11,911.5224219068721,799.779597962811,1020.85998286983,911.5224219068721,911.5224219068721,-3.64759529035986,-3.64759529035986,-3.64759529035986,-3.64759529035986,-3.64759529035986,-3.64759529035986,0.0,0.0,0.0,907.8748266165122
69,2021-10-12,914.8151577445042,793.3483708410395,1007.7979819989293,914.8151577445042,914.8151577445042,-8.939251645271192,-8.939251645271192,-8.939251645271192,-8.939251645271192,-8.939251645271192,-8.939251645271192,0.0,0.0,0.0,905.875906099233
70,2021-10-13,918.1078935821365,807.4760797693485,1024.066265334154,918.1078935821365,918.1078935821365,-6.863497168414807,-6.863497168414807,-6.863497168414807,-6.863497168414807,-6.863497168414807,-6.863497168414807,0.0,0.0,0.0,911.2443964137217
71,2021-10-14,921.4006294197685,797.219343707957,1020.1871277658898,921.4006294197685,921.4006294197685,-15.316795300294661,-15.316795300294661,-15.316795300294661,-15.316795300294661,-15.316795300294661,-15.316795300294661,0.0,0.0,0.0,906.0838341194739
72,2021-10-15,924.6933652574007,798.9114237196169,1013.3059129481985,924.6933652574007,924.6933652574007,-19.72381236562894,-19.72381236562894,-19.72381236562894,-19.72381236562894,-19.72381236562894,-19.72381236562894,0.0,0.0,0.0,904.9695528917717
73,2021-10-18,934.5715725650733,821.2861252913079,1043.1976727578158,934.5715725650733,934.5715725650733,-3.647595290387367,-3.647595290387367,-3.647595290387367,-3.647595290387367,-3.647595290387367,-3.647595290387367,0.0,0.0,0.0,930.923977274686
74,2021-10-19,937.8643083342976,810.7392742215033,1046.9453488685692,937.8643083342976,937.8643083342976,-8.93925164532732,-8.93925164532732,-8.93925164532732,-8.93925164532732,-8.93925164532732,-8.93925164532732,0.0,0.0,0.0,928.9250566889702
75,2021-10-20,941.1570441035218,829.8427251095633,1049.0291106948055,941.1570441035218,941.1570441035218,-6.863497168402684,-6.863497168402684,-6.863497168402684,-6.863497168402684,-6.863497168402684,-6.863497168402684,0.0,0.0,0.0,934.2935469351191
